title,author,isbn,category,publisher,publishedYear,quantity,availableQuantity,language,description,coverImage
Programming Essentials Vol. 61,Author 61,9780000000061,Programming,TechPress,2010,7,7,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+61
AI & Machine Learning Essentials Vol. 62,Author 62,9780000000062,AI & Machine Learning,AI Publications,2011,8,8,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+62
Data Science Essentials Vol. 63,Author 63,9780000000063,Data Science,Data Insights,2012,9,9,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+63
Web Development Essentials Vol. 64,Author 64,9780000000064,Web Development,Web House,2013,10,10,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+64
Database Essentials Vol. 65,Author 65,9780000000065,Database,DB World,2014,3,3,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+65
Cyber Security Essentials Vol. 66,Author 66,9780000000066,Cyber Security,Secure Books,2015,4,4,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+66
Cloud Computing Essentials Vol. 67,Author 67,9780000000067,Cloud Computing,Cloud Press,2016,5,5,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+67
Fiction Essentials Vol. 68,Author 68,9780000000068,Fiction,Novel House,2017,6,6,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+68
History Essentials Vol. 69,Author 69,9780000000069,History,Heritage Press,2018,7,7,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+69
Business Essentials Vol. 70,Author 70,9780000000070,Business,Business Media,2019,8,8,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+70
Programming Essentials Vol. 71,Author 71,9780000000071,Programming,TechPress,2020,9,9,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+71
AI & Machine Learning Essentials Vol. 72,Author 72,9780000000072,AI & Machine Learning,AI Publications,2021,10,10,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+72
Data Science Essentials Vol. 73,Author 73,9780000000073,Data Science,Data Insights,2022,3,3,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+73
Web Development Essentials Vol. 74,Author 74,9780000000074,Web Development,Web House,2023,4,4,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+74
Database Essentials Vol. 75,Author 75,9780000000075,Database,DB World,2024,5,5,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+75
Cyber Security Essentials Vol. 76,Author 1,9780000000076,Cyber Security,Secure Books,2000,6,6,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+76
Cloud Computing Essentials Vol. 77,Author 2,9780000000077,Cloud Computing,Cloud Press,2001,7,7,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+77
Fiction Essentials Vol. 78,Author 3,9780000000078,Fiction,Novel House,2002,8,8,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+78
History Essentials Vol. 79,Author 4,9780000000079,History,Heritage Press,2003,9,9,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+79
Business Essentials Vol. 80,Author 5,9780000000080,Business,Business Media,2004,10,10,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+80
Programming Essentials Vol. 81,Author 6,9780000000081,Programming,TechPress,2005,3,3,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+81
AI & Machine Learning Essentials Vol. 82,Author 7,9780000000082,AI & Machine Learning,AI Publications,2006,4,4,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+82
Data Science Essentials Vol. 83,Author 8,9780000000083,Data Science,Data Insights,2007,5,5,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+83
Web Development Essentials Vol. 84,Author 9,9780000000084,Web Development,Web House,2008,6,6,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+84
Database Essentials Vol. 85,Author 10,9780000000085,Database,DB World,2009,7,7,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+85
Cyber Security Essentials Vol. 86,Author 11,9780000000086,Cyber Security,Secure Books,2010,8,8,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+86
Cloud Computing Essentials Vol. 87,Author 12,9780000000087,Cloud Computing,Cloud Press,2011,9,9,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+87
Fiction Essentials Vol. 88,Author 13,9780000000088,Fiction,Novel House,2012,10,10,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+88
History Essentials Vol. 89,Author 14,9780000000089,History,Heritage Press,2013,3,3,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+89
Business Essentials Vol. 90,Author 15,9780000000090,Business,Business Media,2014,4,4,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+90
Programming Essentials Vol. 91,Author 16,9780000000091,Programming,TechPress,2015,5,5,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+91
AI & Machine Learning Essentials Vol. 92,Author 17,9780000000092,AI & Machine Learning,AI Publications,2016,6,6,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+92
Data Science Essentials Vol. 93,Author 18,9780000000093,Data Science,Data Insights,2017,7,7,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+93
Web Development Essentials Vol. 94,Author 19,9780000000094,Web Development,Web House,2018,8,8,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+94
Database Essentials Vol. 95,Author 20,9780000000095,Database,DB World,2019,9,9,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+95
Cyber Security Essentials Vol. 96,Author 21,9780000000096,Cyber Security,Secure Books,2020,10,10,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+96
Cloud Computing Essentials Vol. 97,Author 22,9780000000097,Cloud Computing,Cloud Press,2021,3,3,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+97
Fiction Essentials Vol. 98,Author 23,9780000000098,Fiction,Novel House,2022,4,4,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+98
History Essentials Vol. 99,Author 24,9780000000099,History,Heritage Press,2023,5,5,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+99
Business Essentials Vol. 100,Author 25,9780000000100,Business,Business Media,2024,6,6,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+100
Programming Essentials Vol. 101,Author 26,9780000000101,Programming,TechPress,2000,7,7,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+101
AI & Machine Learning Essentials Vol. 102,Author 27,9780000000102,AI & Machine Learning,AI Publications,2001,8,8,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+102
Data Science Essentials Vol. 103,Author 28,9780000000103,Data Science,Data Insights,2002,9,9,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+103
Web Development Essentials Vol. 104,Author 29,9780000000104,Web Development,Web House,2003,10,10,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+104
Database Essentials Vol. 105,Author 30,9780000000105,Database,DB World,2004,3,3,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+105
Cyber Security Essentials Vol. 106,Author 31,9780000000106,Cyber Security,Secure Books,2005,4,4,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+106
Cloud Computing Essentials Vol. 107,Author 32,9780000000107,Cloud Computing,Cloud Press,2006,5,5,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+107
Fiction Essentials Vol. 108,Author 33,9780000000108,Fiction,Novel House,2007,6,6,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+108
History Essentials Vol. 109,Author 34,9780000000109,History,Heritage Press,2008,7,7,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+109
Business Essentials Vol. 110,Author 35,9780000000110,Business,Business Media,2009,8,8,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+110
Programming Essentials Vol. 111,Author 36,9780000000111,Programming,TechPress,2010,9,9,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+111
AI & Machine Learning Essentials Vol. 112,Author 37,9780000000112,AI & Machine Learning,AI Publications,2011,10,10,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+112
Data Science Essentials Vol. 113,Author 38,9780000000113,Data Science,Data Insights,2012,3,3,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+113
Web Development Essentials Vol. 114,Author 39,9780000000114,Web Development,Web House,2013,4,4,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+114
Database Essentials Vol. 115,Author 40,9780000000115,Database,DB World,2014,5,5,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+115
Cyber Security Essentials Vol. 116,Author 41,9780000000116,Cyber Security,Secure Books,2015,6,6,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+116
Cloud Computing Essentials Vol. 117,Author 42,9780000000117,Cloud Computing,Cloud Press,2016,7,7,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+117
Fiction Essentials Vol. 118,Author 43,9780000000118,Fiction,Novel House,2017,8,8,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+118
History Essentials Vol. 119,Author 44,9780000000119,History,Heritage Press,2018,9,9,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+119
Business Essentials Vol. 120,Author 45,9780000000120,Business,Business Media,2019,10,10,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+120
Programming Essentials Vol. 121,Author 46,9780000000121,Programming,TechPress,2020,3,3,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+121
AI & Machine Learning Essentials Vol. 122,Author 47,9780000000122,AI & Machine Learning,AI Publications,2021,4,4,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+122
Data Science Essentials Vol. 123,Author 48,9780000000123,Data Science,Data Insights,2022,5,5,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+123
Web Development Essentials Vol. 124,Author 49,9780000000124,Web Development,Web House,2023,6,6,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+124
Database Essentials Vol. 125,Author 50,9780000000125,Database,DB World,2024,7,7,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+125
Cyber Security Essentials Vol. 126,Author 51,9780000000126,Cyber Security,Secure Books,2000,8,8,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+126
Cloud Computing Essentials Vol. 127,Author 52,9780000000127,Cloud Computing,Cloud Press,2001,9,9,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+127
Fiction Essentials Vol. 128,Author 53,9780000000128,Fiction,Novel House,2002,10,10,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+128
History Essentials Vol. 129,Author 54,9780000000129,History,Heritage Press,2003,3,3,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+129
Business Essentials Vol. 130,Author 55,9780000000130,Business,Business Media,2004,4,4,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+130
Programming Essentials Vol. 131,Author 56,9780000000131,Programming,TechPress,2005,5,5,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+131
AI & Machine Learning Essentials Vol. 132,Author 57,9780000000132,AI & Machine Learning,AI Publications,2006,6,6,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+132
Data Science Essentials Vol. 133,Author 58,9780000000133,Data Science,Data Insights,2007,7,7,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+133
Web Development Essentials Vol. 134,Author 59,9780000000134,Web Development,Web House,2008,8,8,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+134
Database Essentials Vol. 135,Author 60,9780000000135,Database,DB World,2009,9,9,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+135
Cyber Security Essentials Vol. 136,Author 61,9780000000136,Cyber Security,Secure Books,2010,10,10,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+136
Cloud Computing Essentials Vol. 137,Author 62,9780000000137,Cloud Computing,Cloud Press,2011,3,3,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+137
Fiction Essentials Vol. 138,Author 63,9780000000138,Fiction,Novel House,2012,4,4,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+138
History Essentials Vol. 139,Author 64,9780000000139,History,Heritage Press,2013,5,5,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+139
Business Essentials Vol. 140,Author 65,9780000000140,Business,Business Media,2014,6,6,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+140
Programming Essentials Vol. 141,Author 66,9780000000141,Programming,TechPress,2015,7,7,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+141
AI & Machine Learning Essentials Vol. 142,Author 67,9780000000142,AI & Machine Learning,AI Publications,2016,8,8,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+142
Data Science Essentials Vol. 143,Author 68,9780000000143,Data Science,Data Insights,2017,9,9,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+143
Web Development Essentials Vol. 144,Author 69,9780000000144,Web Development,Web House,2018,10,10,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+144
Database Essentials Vol. 145,Author 70,9780000000145,Database,DB World,2019,3,3,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+145
Cyber Security Essentials Vol. 146,Author 71,9780000000146,Cyber Security,Secure Books,2020,4,4,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+146
Cloud Computing Essentials Vol. 147,Author 72,9780000000147,Cloud Computing,Cloud Press,2021,5,5,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+147
Fiction Essentials Vol. 148,Author 73,9780000000148,Fiction,Novel House,2022,6,6,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+148
History Essentials Vol. 149,Author 74,9780000000149,History,Heritage Press,2023,7,7,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+149
Business Essentials Vol. 150,Author 75,9780000000150,Business,Business Media,2024,8,8,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+150
Programming Essentials Vol. 151,Author 1,9780000000151,Programming,TechPress,2000,9,9,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+151
AI & Machine Learning Essentials Vol. 152,Author 2,9780000000152,AI & Machine Learning,AI Publications,2001,10,10,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+152
Data Science Essentials Vol. 153,Author 3,9780000000153,Data Science,Data Insights,2002,3,3,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+153
Web Development Essentials Vol. 154,Author 4,9780000000154,Web Development,Web House,2003,4,4,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+154
Database Essentials Vol. 155,Author 5,9780000000155,Database,DB World,2004,5,5,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+155
Cyber Security Essentials Vol. 156,Author 6,9780000000156,Cyber Security,Secure Books,2005,6,6,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+156
Cloud Computing Essentials Vol. 157,Author 7,9780000000157,Cloud Computing,Cloud Press,2006,7,7,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+157
Fiction Essentials Vol. 158,Author 8,9780000000158,Fiction,Novel House,2007,8,8,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+158
History Essentials Vol. 159,Author 9,9780000000159,History,Heritage Press,2008,9,9,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+159
Business Essentials Vol. 160,Author 10,9780000000160,Business,Business Media,2009,10,10,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+160
Programming Essentials Vol. 161,Author 11,9780000000161,Programming,TechPress,2010,3,3,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+161
AI & Machine Learning Essentials Vol. 162,Author 12,9780000000162,AI & Machine Learning,AI Publications,2011,4,4,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+162
Data Science Essentials Vol. 163,Author 13,9780000000163,Data Science,Data Insights,2012,5,5,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+163
Web Development Essentials Vol. 164,Author 14,9780000000164,Web Development,Web House,2013,6,6,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+164
Database Essentials Vol. 165,Author 15,9780000000165,Database,DB World,2014,7,7,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+165
Cyber Security Essentials Vol. 166,Author 16,9780000000166,Cyber Security,Secure Books,2015,8,8,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+166
Cloud Computing Essentials Vol. 167,Author 17,9780000000167,Cloud Computing,Cloud Press,2016,9,9,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+167
Fiction Essentials Vol. 168,Author 18,9780000000168,Fiction,Novel House,2017,10,10,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+168
History Essentials Vol. 169,Author 19,9780000000169,History,Heritage Press,2018,3,3,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+169
Business Essentials Vol. 170,Author 20,9780000000170,Business,Business Media,2019,4,4,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+170
Programming Essentials Vol. 171,Author 21,9780000000171,Programming,TechPress,2020,5,5,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+171
AI & Machine Learning Essentials Vol. 172,Author 22,9780000000172,AI & Machine Learning,AI Publications,2021,6,6,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+172
Data Science Essentials Vol. 173,Author 23,9780000000173,Data Science,Data Insights,2022,7,7,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+173
Web Development Essentials Vol. 174,Author 24,9780000000174,Web Development,Web House,2023,8,8,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+174
Database Essentials Vol. 175,Author 25,9780000000175,Database,DB World,2024,9,9,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+175
Cyber Security Essentials Vol. 176,Author 26,9780000000176,Cyber Security,Secure Books,2000,10,10,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+176
Cloud Computing Essentials Vol. 177,Author 27,9780000000177,Cloud Computing,Cloud Press,2001,3,3,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+177
Fiction Essentials Vol. 178,Author 28,9780000000178,Fiction,Novel House,2002,4,4,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+178
History Essentials Vol. 179,Author 29,9780000000179,History,Heritage Press,2003,5,5,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+179
Business Essentials Vol. 180,Author 30,9780000000180,Business,Business Media,2004,6,6,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+180
Programming Essentials Vol. 181,Author 31,9780000000181,Programming,TechPress,2005,7,7,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+181
